기준일,ARS-ID,정류소명_x,Unnamed: 3,마을,간선,지선,순환,NODE_ID,X좌표,Y좌표,정류소타입
2025-07-02,4001,답십리역사거리,,0,5,0,0,103000001,127.0543962,37.56544961,중앙차로
2025-07-02,4002,청년회의소.서울새활용플라자,,0,5,3,0,103000002,127.0604823,37.56203536,중앙차로
2025-07-02,4003,장한평역,,0,5,4,0,103000003,127.0660927,37.56118992,중앙차로
2025-07-02,4101,상왕십리역,,0,3,3,0,103000004,127.0290749,37.5643358,일반차로
2025-07-02,4102,상왕십리역,,0,6,6,0,103000005,127.0286813,37.56469363,일반차로
2025-07-02,4103,왕십리센트라스아파트,,0,6,6,0,103000006,127.0248052,37.565213,일반차로
2025-07-02,4104,왕십리교회,,0,2,2,0,103000007,127.0236794,37.56663004,일반차로
2025-07-02,4105,뉴타운아파트,,0,4,3,0,103000509,127.0269698,37.5648724,일반차로
2025-07-02,4106,청계벽산아파트.텐즈힐아파트,,0,3,1,0,103000008,127.0303755,37.56885848,일반차로
2025-07-02,4107,청계벽산아파트.텐즈힐아파트,,0,3,2,0,103000009,127.0300384,37.56795982,일반차로
2025-07-02,4108,왕십리도선동주민센터,,0,1,2,0,103000010,127.0246447,37.56761644,일반차로
2025-07-02,4109,왕십리2동주민센터,,0,4,4,0,103000011,127.0332626,37.56244961,일반차로
2025-07-02,4110,코스모타워.서울신용보증재단성동지점,,0,4,4,0,103000012,127.0329029,37.56298226,일반차로
2025-07-02,4112,성동구청,,0,5,2,0,103000014,127.0359164,37.56312659,가로변시간
2025-07-02,4113,상왕십리역,,0,3,0,0,103000015,127.0302446,37.56487166,일반차로
2025-07-02,4114,상왕십리역.센트라스아파트,,0,3,3,0,103000016,127.0299768,37.56586011,일반차로
2025-07-02,4115,신금호역4번출구,,0,0,2,0,103000515,127.0205311,37.55414281,일반차로
2025-07-02,4116,마장동주민센터,,0,1,1,0,103000017,127.0445738,37.5673235,일반차로
2025-07-02,4117,마장역,,0,1,1,0,103000018,127.0422829,37.56559873,일반차로
2025-07-02,4118,성동노인복지관,,0,1,1,0,103000019,127.0415861,37.56493759,일반차로
2025-07-02,4119,마장축산물시장,,0,5,2,0,103000020,127.0380207,37.57095053,가로변전일
2025-07-02,4120,마장축산물시장,,2,5,2,0,103000021,127.0375114,37.57025901,가로변전일
